Algorithm,N,Steps,Time
Backtracking,10,975,0.0011479854583740234
Backtracking,10,975,0.0012161731719970703
Backtracking,10,975,0.0012238025665283203
Backtracking,10,975,0.0012285709381103516
Backtracking,10,975,0.0012447834014892578
Backtracking,10,975,0.0012202262878417969
Backtracking,10,975,0.0012214183807373047
Backtracking,10,975,0.002146482467651367
Backtracking,10,975,0.0012140274047851562
Backtracking,10,975,0.001222372055053711
Backtracking,10,975,0.0012552738189697266
Backtracking,10,975,0.0012314319610595703
Backtracking,10,975,0.0008721351623535156
Backtracking,10,975,0.0007684230804443359
Forward Checking,10,35,0.005854606628417969
Forward Checking,10,35,0.00584101676940918
Forward Checking,10,35,0.005919218063354492
Forward Checking,10,35,0.005822420120239258
Forward Checking,10,35,0.005818843841552734
Forward Checking,10,35,0.005956888198852539
Forward Checking,10,35,0.005877494812011719
Forward Checking,10,35,0.005843400955200195
Forward Checking,10,35,0.005515575408935547
Forward Checking,10,35,0.0025746822357177734
Forward Checking,10,35,0.005478382110595703
Forward Checking,10,35,0.005513668060302734
Forward Checking,10,35,0.005513906478881836
Forward Checking,10,35,0.005713939666748047
Forward Checking,10,35,0.005427837371826172
Forward Checking,10,35,0.0051555633544921875
Forward Checking,10,35,0.005504608154296875
Forward Checking,10,35,0.005514621734619141
Forward Checking,10,35,0.005589485168457031
Forward Checking,10,35,0.0054934024810791016
Forward Checking,10,35,0.005526304244995117
Forward Checking,10,35,0.005534648895263672
Forward Checking,10,35,0.0050089359283447266
Forward Checking,10,35,0.005499124526977539
Forward Checking,10,35,0.005433320999145508
Forward Checking,10,35,0.005464076995849609
Forward Checking,10,35,0.00542759895324707
Forward Checking,10,35,0.005422830581665039
Forward Checking,10,35,0.005333423614501953
Forward Checking,10,35,0.004071235656738281
Backtracking,12,3066,0.003990650177001953
Backtracking,12,3066,0.0043222904205322266
Backtracking,12,3066,0.0047206878662109375
Backtracking,12,3066,0.004583835601806641
Backtracking,12,3066,0.00458526611328125
Backtracking,12,3066,0.004477977752685547
Backtracking,12,3066,0.005852460861206055
Backtracking,12,3066,0.004606485366821289
Backtracking,12,3066,0.013570547103881836
Backtracking,12,3066,0.004180431365966797
Backtracking,12,3066,0.0041692256927490234
Backtracking,12,3066,0.004311800003051758
Backtracking,12,3066,0.004245281219482422
Backtracking,12,3066,0.0040781497955322266
Backtracking,12,3066,0.004175901412963867
Backtracking,12,3066,0.004134416580200195
Backtracking,12,3066,0.004206418991088867
Backtracking,12,3066,0.004119873046875
Backtracking,12,3066,0.004185914993286133
Backtracking,12,3066,0.004195213317871094
Backtracking,12,3066,0.004054069519042969
Backtracking,12,3066,0.004185676574707031
Backtracking,12,3066,0.004133939743041992
Backtracking,12,3066,0.004200458526611328
Backtracking,12,3066,0.004100322723388672
Backtracking,12,3066,0.004174470901489258
Backtracking,12,3066,0.004049539566040039
Backtracking,12,3066,0.004147529602050781
Backtracking,12,3066,0.004168987274169922
Backtracking,12,3066,0.0036172866821289062
Forward Checking,12,153,0.02913665771484375
Forward Checking,12,153,0.027683496475219727
Forward Checking,12,153,0.027561426162719727
Forward Checking,12,153,0.02814030647277832
Forward Checking,12,153,0.027784347534179688
Forward Checking,12,153,0.028211116790771484
Forward Checking,12,153,0.028019428253173828
Forward Checking,12,153,0.028302907943725586
Forward Checking,12,153,0.026775360107421875
Forward Checking,12,153,0.02855658531188965
Forward Checking,12,153,0.027873516082763672
Forward Checking,12,153,0.02669239044189453
Forward Checking,12,153,0.028452157974243164
Forward Checking,12,153,0.03313326835632324
Forward Checking,12,153,0.027897357940673828
Forward Checking,12,153,0.02847456932067871
Forward Checking,12,153,0.027118921279907227
Forward Checking,12,153,0.02999591827392578
Forward Checking,12,153,0.027086496353149414
Forward Checking,12,153,0.027799129486083984
Forward Checking,12,153,0.0280764102935791
Forward Checking,12,153,0.027440309524536133
Forward Checking,12,153,0.024609804153442383
Forward Checking,12,153,0.027425050735473633
Forward Checking,12,153,0.015469789505004883
Forward Checking,12,153,0.019072771072387695
Forward Checking,12,153,0.026027679443359375
Forward Checking,12,153,0.02566814422607422
Forward Checking,12,153,0.025779008865356445
Forward Checking,12,153,0.02535724639892578
Backtracking,15,20280,0.058672189712524414
Backtracking,15,20280,0.06953692436218262
Backtracking,15,20280,0.03219318389892578
Backtracking,15,20280,0.032166242599487305
Backtracking,15,20280,0.029374122619628906
Backtracking,15,20280,0.0499880313873291
Backtracking,15,20280,0.08192682266235352
Backtracking,15,20280,0.0317533016204834
Backtracking,15,20280,0.02772378921508789
Backtracking,15,20280,0.027912616729736328
Backtracking,15,20280,0.027876853942871094
Backtracking,15,20280,0.059833526611328125
Backtracking,15,20280,0.03740525245666504
Backtracking,15,20280,0.04721474647521973
Backtracking,15,20280,0.0359950065612793
Backtracking,15,20280,0.051662445068359375
